LAT,LON,YEAR,MO,DY,rh2m,t2m,ws10m
13.0,78.75,2020,1,1,84.57,23.03,3.45
13.0,79.375,2020,1,1,88.54,23.97,3.08
13.0,80.0,2020,1,1,85.51,25.75,3.3
13.5,76.25,2020,1,1,76.11,22.15,2.5
13.5,76.875,2020,1,1,73.28,22.87,2.61
13.5,77.5,2020,1,1,74.56,22.72,3.32
13.5,78.125,2020,1,1,78.3,22.46,3.94
13.5,78.75,2020,1,1,83.88,22.66,3.56
13.5,79.375,2020,1,1,88.58,23.57,3.06
13.5,80.0,2020,1,1,86.47,25.43,3.44
8.5,76.25,2020,1,2,74.94,28.33,1.97
8.5,76.875,2020,1,2,80.33,27.44,2.37
8.5,77.5,2020,1,2,89.12,24.97,3.18
8.5,78.125,2020,1,2,87.66,26.95,4.73
8.5,78.75,2020,1,2,84.78,27.73,6.26
8.5,79.375,2020,1,2,84.24,27.82,5.98
8.5,80.0,2020,1,2,87.49,26.78,4.67
9.0,76.25,2020,1,2,74.62,28.56,1.61
9.0,76.875,2020,1,2,83.78,26.11,1.56
9.0,77.5,2020,1,2,88.41,24.92,2.81
9.0,78.125,2020,1,2,86.63,26.57,3.83
9.0,78.75,2020,1,2,84.9,27.48,5.4
9.0,79.375,2020,1,2,83.81,27.71,5.91
9.0,80.0,2020,1,2,86.73,26.96,4.83
9.5,76.25,2020,1,2,74.51,28.6,1.27
9.5,76.875,2020,1,2,86.35,24.48,0.79
9.5,77.5,2020,1,2,86.59,24.13,1.92
9.5,78.125,2020,1,2,85.38,26.18,3.29
9.5,78.75,2020,1,2,86.29,26.75,4.29
9.5,79.375,2020,1,2,83.62,27.53,5.57
9.5,80.0,2020,1,2,83.35,27.43,5.31
10.0,76.25,2020,1,2,74.29,28.24,1.24
10.0,76.875,2020,1,2,86.36,22.72,0.77
10.0,77.5,2020,1,2,88.08,22.43,1.77
10.0,78.125,2020,1,2,85.55,25.33,2.78
10.0,78.75,2020,1,2,87.67,26.03,3.51
10.0,79.375,2020,1,2,85.89,26.91,4.6
10.0,80.0,2020,1,2,83.38,27.38,5.22
10.5,76.25,2020,1,2,74.91,27.53,1.74
10.5,76.875,2020,1,2,84.26,23.66,1.94
10.5,77.5,2020,1,2,84.01,23.8,2.46
10.5,78.125,2020,1,2,82.97,25.51,2.84
10.5,78.75,2020,1,2,87.1,25.7,3.17
10.5,79.375,2020,1,2,88.08,26.26,3.64
10.5,80.0,2020,1,2,84.63,27.04,4.61
11.0,76.25,2020,1,2,78.1,25.32,1.6
11.0,76.875,2020,1,2,83.99,23.47,2.41
11.0,77.5,2020,1,2,77.63,25.84,2.5
11.0,78.125,2020,1,2,78.78,26.03,2.95
11.0,78.75,2020,1,2,86.02,25.29,3.03
11.0,79.375,2020,1,2,88.65,25.88,3.16
11.0,80.0,2020,1,2,85.41,26.81,4.11
11.5,76.25,2020,1,2,81.78,23.15,1.21
11.5,76.875,2020,1,2,81.76,22.39,2.22
11.5,77.5,2020,1,2,75.52,25.39,1.94
11.5,78.125,2020,1,2,77.12,25.65,2.71
11.5,78.75,2020,1,2,85.3,24.56,2.84
11.5,79.375,2020,1,2,87.35,25.75,2.97
11.5,80.0,2020,1,2,85.34,26.69,3.82
12.0,76.25,2020,1,2,81.65,22.76,1.61
12.0,76.875,2020,1,2,76.54,23.29,2.47
12.0,77.5,2020,1,2,75.97,24.05,1.9
12.0,78.125,2020,1,2,77.58,24.71,2.58
12.0,78.75,2020,1,2,84.33,24.15,2.67
12.0,79.375,2020,1,2,86.2,25.41,2.71
12.0,80.0,2020,1,2,84.83,26.44,3.38
12.5,76.25,2020,1,2,78.76,23.03,1.76
12.5,76.875,2020,1,2,73.48,24.28,2.56
12.5,77.5,2020,1,2,74.68,23.85,2.9
12.5,78.125,2020,1,2,77.45,23.89,2.85
12.5,78.75,2020,1,2,82.23,24.21,2.66
12.5,79.375,2020,1,2,87.35,24.66,2.44
12.5,80.0,2020,1,2,85.52,25.97,2.9
13.0,76.25,2020,1,2,77.07,22.99,1.6
13.0,76.875,2020,1,2,73.18,23.98,2.59
13.0,77.5,2020,1,2,73.02,23.45,3.31
13.0,78.125,2020,1,2,78.12,22.88,3.14
13.0,78.75,2020,1,2,81.41,23.68,2.74
13.0,79.375,2020,1,2,86.78,24.38,2.29
13.0,80.0,2020,1,2,86.26,25.68,2.68
13.5,76.25,2020,1,2,74.9,23.45,1.44
13.5,76.875,2020,1,2,73.53,24.02,2.15
13.5,77.5,2020,1,2,72.33,23.89,2.84
13.5,78.125,2020,1,2,76.57,23.18,3.19
13.5,78.75,2020,1,2,80.91,23.37,2.88
13.5,79.375,2020,1,2,86.56,24.16,2.4
13.5,80.0,2020,1,2,86.15,25.65,2.87
8.5,76.25,2020,1,3,74.63,28.64,2.88
8.5,76.875,2020,1,3,80.94,27.39,2.86
8.5,77.5,2020,1,3,88.27,25.21,3.16
8.5,78.125,2020,1,3,86.73,27.17,4.04
8.5,78.75,2020,1,3,84.21,27.74,5.15
8.5,79.375,2020,1,3,83.35,27.85,4.86
8.5,80.0,2020,1,3,86.06,26.94,4.02
9.0,76.25,2020,1,3,74.12,28.71,2.57
9.0,76.875,2020,1,3,83.04,26.03,1.8
9.0,77.5,2020,1,3,87.64,24.99,2.7
9.0,78.125,2020,1,3,86.29,26.78,3.19
9.0,78.75,2020,1,3,84.01,27.58,4.46
9.0,79.375,2020,1,3,83.07,27.77,4.97
9.0,80.0,2020,1,3,86.09,27.03,4.25
9.5,76.25,2020,1,3,72.48,28.93,2.13
9.5,76.875,2020,1,3,82.93,24.89,0.91
9.5,77.5,2020,1,3,86.51,24.11,1.86
9.5,78.125,2020,1,3,84.95,26.33,2.76
9.5,78.75,2020,1,3,86.03,26.76,3.57
9.5,79.375,2020,1,3,82.87,27.6,4.8
9.5,80.0,2020,1,3,83.42,27.41,4.72
10.0,76.25,2020,1,3,72.52,28.53,2.03
10.0,76.875,2020,1,3,82.99,23.34,0.86
10.0,77.5,2020,1,3,87.55,22.58,1.83
10.0,78.125,2020,1,3,85.26,25.44,2.45
10.0,78.75,2020,1,3,87.84,26.04,2.97
10.0,79.375,2020,1,3,85.44,26.99,3.94
10.0,80.0,2020,1,3,83.66,27.36,4.53
10.5,76.25,2020,1,3,72.97,28.08,2.07
10.5,76.875,2020,1,3,81.13,24.36,1.69
10.5,77.5,2020,1,3,82.71,24.11,2.43
10.5,78.125,2020,1,3,82.94,25.57,2.61
10.5,78.75,2020,1,3,87.27,25.75,2.74
10.5,79.375,2020,1,3,88.13,26.31,3.11
10.5,80.0,2020,1,3,85.21,27.0,3.95
11.0,76.25,2020,1,3,76.7,25.99,1.61
11.0,76.875,2020,1,3,81.69,24.16,2.18
11.0,77.5,2020,1,3,76.64,26.16,2.36
11.0,78.125,2020,1,3,78.61,26.19,2.71
11.0,78.75,2020,1,3,85.89,25.41,2.67
11.0,79.375,2020,1,3,88.58,25.96,2.75
11.0,80.0,2020,1,3,85.02,26.88,3.52
11.5,76.25,2020,1,3,81.69,23.53,1.12
11.5,76.875,2020,1,3,80.9,22.95,1.91
11.5,77.5,2020,1,3,74.89,25.69,1.83
11.5,78.125,2020,1,3,76.53,25.86,2.5
11.5,78.75,2020,1,3,84.9,24.77,2.54
11.5,79.375,2020,1,3,87.17,25.92,2.61
11.5,80.0,2020,1,3,84.49,26.83,3.24
12.0,76.25,2020,1,3,81.61,22.94,1.35
12.0,76.875,2020,1,3,75.8,23.69,2.01
12.0,77.5,2020,1,3,75.37,24.36,1.66
12.0,78.125,2020,1,3,76.35,24.93,2.34
12.0,78.75,2020,1,3,83.37,24.42,2.37
12.0,79.375,2020,1,3,86.04,25.64,2.36
12.0,80.0,2020,1,3,84.73,26.52,2.85
12.5,76.25,2020,1,3,78.16,23.24,1.56
12.5,76.875,2020,1,3,73.27,24.58,2.14
12.5,77.5,2020,1,3,73.96,24.2,2.42
12.5,78.125,2020,1,3,75.06,24.35,2.56
12.5,78.75,2020,1,3,80.0,24.6,2.32
12.5,79.375,2020,1,3,85.97,25.01,2.06
12.5,80.0,2020,1,3,83.46,26.29,2.41
13.0,76.25,2020,1,3,77.23,23.05,1.76
13.0,76.875,2020,1,3,73.08,24.21,2.42
13.0,77.5,2020,1,3,72.03,23.88,2.72
13.0,78.125,2020,1,3,75.08,23.46,2.84
13.0,78.75,2020,1,3,77.91,24.22,2.5
13.0,79.375,2020,1,3,84.09,24.86,1.92
13.0,80.0,2020,1,3,82.96,26.13,2.14
13.5,76.25,2020,1,3,75.34,23.56,1.76
13.5,76.875,2020,1,3,71.54,24.44,2.54
13.5,77.5,2020,1,3,71.25,24.29,2.39
13.5,78.125,2020,1,3,73.47,23.77,2.8
13.5,78.75,2020,1,3,76.25,23.96,2.78
13.5,79.375,2020,1,3,83.52,24.44,2.12
13.5,80.0,2020,1,3,82.81,25.95,2.17
8.5,76.25,2020,1,4,78.07,28.36,2.34
8.5,76.875,2020,1,4,81.11,27.54,1.54
8.5,77.5,2020,1,4,89.03,25.24,2.21
8.5,78.125,2020,1,4,87.18,27.06,3.41
8.5,78.75,2020,1,4,82.78,27.96,4.71
8.5,79.375,2020,1,4,81.66,28.03,5.04
8.5,80.0,2020,1,4,85.25,26.81,4.13
9.0,76.25,2020,1,4,78.3,28.46,2.52
9.0,76.875,2020,1,4,84.26,26.36,1.1
9.0,77.5,2020,1,4,88.71,25.14,1.99
9.0,78.125,2020,1,4,86.54,26.77,2.78
9.0,78.75,2020,1,4,83.52,27.65,4.13
9.0,79.375,2020,1,4,82.23,27.86,4.83
9.0,80.0,2020,1,4,85.42,26.94,4.15
9.5,76.25,2020,1,4,77.9,28.54,2.76
9.5,76.875,2020,1,4,84.92,25.44,0.78
9.5,77.5,2020,1,4,87.03,24.4,1.48
9.5,78.125,2020,1,4,84.73,26.48,2.42
9.5,78.75,2020,1,4,85.49,26.86,3.28
9.5,79.375,2020,1,4,82.63,27.64,4.47
9.5,80.0,2020,1,4,83.3,27.37,4.4
10.0,76.25,2020,1,4,78.22,28.2,2.68
10.0,76.875,2020,1,4,85.33,23.94,0.69
10.0,77.5,2020,1,4,86.43,23.28,1.24
10.0,78.125,2020,1,4,84.04,25.9,2.07
10.0,78.75,2020,1,4,86.93,26.22,2.73
10.0,79.375,2020,1,4,84.67,27.05,3.7
10.0,80.0,2020,1,4,83.66,27.32,4.28
10.5,76.25,2020,1,4,76.59,27.96,2.32
10.5,76.875,2020,1,4,79.67,25.18,0.8
10.5,77.5,2020,1,4,81.32,24.83,1.9
10.5,78.125,2020,1,4,81.55,26.14,2.26
10.5,78.75,2020,1,4,86.08,26.03,2.46
10.5,79.375,2020,1,4,87.12,26.39,2.88
10.5,80.0,2020,1,4,85.04,27.0,3.77
11.0,76.25,2020,1,4,78.96,25.79,1.68
11.0,76.875,2020,1,4,79.67,24.82,1.24
11.0,77.5,2020,1,4,76.24,26.67,1.97
11.0,78.125,2020,1,4,77.53,26.78,2.37
11.0,78.75,2020,1,4,84.54,25.84,2.34
11.0,79.375,2020,1,4,87.8,26.1,2.43
11.0,80.0,2020,1,4,85.15,26.9,3.38
11.5,76.25,2020,1,4,82.51,23.25,1.17
11.5,76.875,2020,1,4,79.38,23.43,1.28
11.5,77.5,2020,1,4,75.05,26.2,1.56
11.5,78.125,2020,1,4,75.71,26.56,2.05
11.5,78.75,2020,1,4,83.37,25.39,2.18
11.5,79.375,2020,1,4,86.22,26.22,2.3
11.5,80.0,2020,1,4,84.45,26.96,3.22
12.0,76.25,2020,1,4,80.46,22.8,1.23
12.0,76.875,2020,1,4,72.79,24.41,1.36
12.0,77.5,2020,1,4,74.94,25.01,1.22
12.0,78.125,2020,1,4,75.74,25.64,1.75
12.0,78.75,2020,1,4,81.64,25.19,2.03
12.0,79.375,2020,1,4,84.92,26.14,2.17
12.0,80.0,2020,1,4,84.08,26.81,2.98
12.5,76.25,2020,1,4,75.91,23.14,1.53
12.5,76.875,2020,1,4,69.42,25.39,1.36
12.5,77.5,2020,1,4,73.07,24.87,1.64
12.5,78.125,2020,1,4,75.18,24.98,1.86
12.5,78.75,2020,1,4,78.67,25.41,2.13
12.5,79.375,2020,1,4,85.31,25.52,2.03
12.5,80.0,2020,1,4,84.13,26.45,2.64
13.0,76.25,2020,1,4,74.93,22.94,1.58
13.0,76.875,2020,1,4,68.85,24.91,1.22
13.0,77.5,2020,1,4,72.06,24.38,2.04
13.0,78.125,2020,1,4,75.77,24.11,1.97
13.0,78.75,2020,1,4,77.61,24.97,2.28
13.0,79.375,2020,1,4,84.21,25.24,2.08
13.0,80.0,2020,1,4,85.21,26.09,2.43
13.5,76.25,2020,1,4,73.89,23.18,1.63
13.5,76.875,2020,1,4,67.93,24.51,1.4
13.5,77.5,2020,1,4,71.49,24.46,2.32
13.5,78.125,2020,1,4,74.89,24.23,2.28
13.5,78.75,2020,1,4,77.09,24.59,2.24
13.5,79.375,2020,1,4,84.12,24.77,2.18
13.5,80.0,2020,1,4,85.12,25.89,2.49
8.5,76.25,2020,1,5,77.39,28.59,2.93
8.5,76.875,2020,1,5,80.31,27.53,2.02
8.5,77.5,2020,1,5,88.58,24.97,2.63
8.5,78.125,2020,1,5,85.74,27.0,3.96
8.5,78.75,2020,1,5,81.74,27.88,5.57
8.5,79.375,2020,1,5,81.54,27.79,5.73
8.5,80.0,2020,1,5,85.39,26.48,4.78
9.0,76.25,2020,1,5,77.61,28.42,2.78
9.0,76.875,2020,1,5,87.68,25.58,1.32
9.0,77.5,2020,1,5,89.14,24.88,2.24
9.0,78.125,2020,1,5,85.59,26.65,3.18
9.0,78.75,2020,1,5,82.41,27.62,4.96
9.0,79.375,2020,1,5,81.95,27.72,5.67
9.0,80.0,2020,1,5,85.19,26.81,4.93
9.5,76.25,2020,1,5,76.75,28.34,2.4
9.5,76.875,2020,1,5,89.86,24.24,0.86
9.5,77.5,2020,1,5,87.87,24.09,1.62
9.5,78.125,2020,1,5,84.43,26.36,2.82
9.5,78.75,2020,1,5,84.69,26.81,4.03
9.5,79.375,2020,1,5,81.96,27.64,5.51
9.5,80.0,2020,1,5,82.47,27.4,5.49
10.0,76.25,2020,1,5,76.73,28.17,1.99
10.0,76.875,2020,1,5,88.12,22.96,0.83
10.0,77.5,2020,1,5,88.17,22.61,1.89
10.0,78.125,2020,1,5,84.63,25.59,2.65
10.0,78.75,2020,1,5,86.57,26.09,3.39
10.0,79.375,2020,1,5,83.67,27.11,4.65
10.0,80.0,2020,1,5,82.17,27.48,5.5
10.5,76.25,2020,1,5,75.58,27.95,1.77
10.5,76.875,2020,1,5,82.22,24.39,1.9
10.5,77.5,2020,1,5,82.07,24.31,2.98
10.5,78.125,2020,1,5,81.95,25.82,2.97
10.5,78.75,2020,1,5,86.12,25.81,3.09
10.5,79.375,2020,1,5,86.57,26.32,3.64
10.5,80.0,2020,1,5,83.1,27.18,4.9
11.0,76.25,2020,1,5,78.34,25.68,1.39
11.0,76.875,2020,1,5,81.83,24.29,2.61
11.0,77.5,2020,1,5,75.95,26.41,3.36
11.0,78.125,2020,1,5,77.68,26.51,3.16
11.0,78.75,2020,1,5,84.64,25.56,3.04
11.0,79.375,2020,1,5,87.53,25.89,3.13
11.0,80.0,2020,1,5,82.89,27.02,4.39
11.5,76.25,2020,1,5,82.02,23.18,1.22
11.5,76.875,2020,1,5,80.48,23.18,2.18
11.5,77.5,2020,1,5,75.1,25.92,2.48
11.5,78.125,2020,1,5,76.13,26.23,2.94
11.5,78.75,2020,1,5,83.85,25.06,3.03
11.5,79.375,2020,1,5,86.27,25.92,3.04
11.5,80.0,2020,1,5,82.22,27.0,4.18
12.0,76.25,2020,1,5,79.9,22.77,1.46
12.0,76.875,2020,1,5,73.2,24.11,1.8
12.0,77.5,2020,1,5,75.82,24.7,1.91
12.0,78.125,2020,1,5,77.42,25.22,2.89
12.0,78.75,2020,1,5,83.08,24.77,3.02
12.0,79.375,2020,1,5,85.45,25.78,2.95
12.0,80.0,2020,1,5,82.47,26.77,3.89
12.5,76.25,2020,1,5,75.68,22.97,1.82
12.5,76.875,2020,1,5,71.0,24.78,2.15
12.5,77.5,2020,1,5,74.66,24.57,2.67
12.5,78.125,2020,1,5,78.15,24.44,3.21
12.5,78.75,2020,1,5,81.27,24.87,3.19
12.5,79.375,2020,1,5,86.04,25.23,2.84
12.5,80.0,2020,1,5,82.84,26.37,3.46
13.0,76.25,2020,1,5,74.57,22.7,2.12
13.0,76.875,2020,1,5,72.5,23.91,2.45
13.0,77.5,2020,1,5,74.21,24.15,2.63
13.0,78.125,2020,1,5,79.29,23.6,3.14
13.0,78.75,2020,1,5,80.85,24.39,3.34
13.0,79.375,2020,1,5,85.33,25.02,2.76
13.0,80.0,2020,1,5,83.38,26.13,3.11
13.5,76.25,2020,1,5,71.88,22.86,2.16
13.5,76.875,2020,1,5,71.5,23.33,2.57
13.5,77.5,2020,1,5,72.86,24.04,2.47
13.5,78.125,2020,1,5,77.11,23.66,3.23
13.5,78.75,2020,1,5,79.99,24.07,3.19
13.5,79.375,2020,1,5,85.4,24.64,2.53
13.5,80.0,2020,1,5,83.57,25.98,2.93
8.5,76.25,2020,1,6,76.29,28.81,4.83
8.5,76.875,2020,1,6,83.67,26.83,4.49
8.5,77.5,2020,1,6,89.19,24.57,4.14
8.5,78.125,2020,1,6,85.28,26.97,5.77
8.5,78.75,2020,1,6,81.1,27.82,7.42
8.5,79.375,2020,1,6,81.25,27.65,7.08
8.5,80.0,2020,1,6,85.49,26.32,5.51
9.0,76.25,2020,1,6,75.04,28.68,3.65
9.0,76.875,2020,1,6,84.31,25.55,2.82
9.0,77.5,2020,1,6,88.29,24.39,3.5
9.0,78.125,2020,1,6,84.9,26.42,4.59
9.0,78.75,2020,1,6,81.48,27.47,6.36
9.0,79.375,2020,1,6,80.79,27.64,7.0
9.0,80.0,2020,1,6,84.26,26.65,5.73
9.5,76.25,2020,1,6,72.07,28.84,2.17
9.5,76.875,2020,1,6,84.1,24.25,1.49
9.5,77.5,2020,1,6,85.96,23.56,2.48
9.5,78.125,2020,1,6,84.04,25.91,3.88
9.5,78.75,2020,1,6,83.98,26.47,5.11
9.5,79.375,2020,1,6,80.72,27.51,6.72
9.5,80.0,2020,1,6,81.23,27.2,6.44
10.0,76.25,2020,1,6,68.8,28.71,1.47
10.0,76.875,2020,1,6,82.65,22.62,1.41
10.0,77.5,2020,1,6,87.76,21.75,2.47
10.0,78.125,2020,1,6,84.78,24.84,3.45
10.0,78.75,2020,1,6,86.51,25.58,4.24
10.0,79.375,2020,1,6,83.39,26.77,5.6
10.0,80.0,2020,1,6,80.94,27.27,6.49
10.5,76.25,2020,1,6,70.42,27.85,2.52
10.5,76.875,2020,1,6,80.59,23.61,2.95
10.5,77.5,2020,1,6,82.65,23.42,3.57
10.5,78.125,2020,1,6,82.51,24.99,3.62
10.5,78.75,2020,1,6,86.62,25.2,3.81
10.5,79.375,2020,1,6,86.27,25.89,4.42
10.5,80.0,2020,1,6,82.19,26.91,5.84
11.0,76.25,2020,1,6,74.67,25.55,2.5
11.0,76.875,2020,1,6,80.84,23.62,3.66
11.0,77.5,2020,1,6,75.82,25.77,3.9
11.0,78.125,2020,1,6,78.52,25.63,3.83
11.0,78.75,2020,1,6,85.6,24.82,3.74
11.0,79.375,2020,1,6,86.99,25.44,3.93
11.0,80.0,2020,1,6,82.62,26.67,5.36
11.5,76.25,2020,1,6,78.72,23.38,1.95
11.5,76.875,2020,1,6,79.81,22.67,3.37
11.5,77.5,2020,1,6,74.62,25.25,2.92
11.5,78.125,2020,1,6,77.19,25.27,3.66
11.5,78.75,2020,1,6,85.19,24.14,3.74
11.5,79.375,2020,1,6,85.57,25.44,3.88
11.5,80.0,2020,1,6,81.93,26.67,5.24
12.0,76.25,2020,1,6,78.3,23.03,2.64
12.0,76.875,2020,1,6,74.61,23.49,3.73
12.0,77.5,2020,1,6,76.05,23.82,2.62
12.0,78.125,2020,1,6,77.9,24.3,3.71
12.0,78.75,2020,1,6,84.26,23.69,3.64
12.0,79.375,2020,1,6,84.37,25.22,3.69
12.0,80.0,2020,1,6,81.26,26.5,4.94
12.5,76.25,2020,1,6,73.87,23.44,3.34
12.5,76.875,2020,1,6,71.0,24.44,4.25
12.5,77.5,2020,1,6,73.88,23.91,4.09
12.5,78.125,2020,1,6,77.65,23.56,4.29
12.5,78.75,2020,1,6,82.47,23.67,3.59
12.5,79.375,2020,1,6,85.28,24.42,3.36
12.5,80.0,2020,1,6,81.45,26.01,4.36
13.0,76.25,2020,1,6,74.18,23.24,3.62
13.0,76.875,2020,1,6,71.03,24.14,4.24
13.0,77.5,2020,1,6,72.34,23.64,4.55
13.0,78.125,2020,1,6,78.65,22.68,4.61
13.0,78.75,2020,1,6,82.13,23.15,3.77
13.0,79.375,2020,1,6,85.77,23.96,3.2
13.0,80.0,2020,1,6,82.49,25.6,3.97
13.5,76.25,2020,1,6,73.74,23.46,3.67
13.5,76.875,2020,1,6,71.0,24.05,4.35
13.5,77.5,2020,1,6,72.63,23.65,4.57
13.5,78.125,2020,1,6,77.2,23.01,4.81
13.5,78.75,2020,1,6,82.36,22.85,4.09
13.5,79.375,2020,1,6,87.09,23.42,3.21
13.5,80.0,2020,1,6,84.43,25.22,3.84
8.5,76.25,2020,1,7,72.44,28.58,4.48
8.5,76.875,2020,1,7,83.66,26.21,4.04
8.5,77.5,2020,1,7,89.4,24.09,3.89
8.5,78.125,2020,1,7,85.76,26.71,5.76
8.5,78.75,2020,1,7,79.54,27.93,7.54
8.5,79.375,2020,1,7,79.91,27.81,7.36
8.5,80.0,2020,1,7,84.95,26.39,5.79
9.0,76.25,2020,1,7,71.15,28.44,3.48
9.0,76.875,2020,1,7,84.91,24.69,2.56
9.0,77.5,2020,1,7,88.37,23.79,3.29
9.0,78.125,2020,1,7,85.23,25.98,4.54
9.0,78.75,2020,1,7,81.18,27.31,6.45
9.0,79.375,2020,1,7,79.23,27.75,7.27
9.0,80.0,2020,1,7,83.46,26.67,6.05
9.5,76.25,2020,1,7,67.63,28.9,1.84
9.5,76.875,2020,1,7,83.28,23.66,1.31
9.5,77.5,2020,1,7,85.97,22.93,2.31
9.5,78.125,2020,1,7,83.9,25.52,3.89
9.5,78.75,2020,1,7,84.57,26.11,5.19
9.5,79.375,2020,1,7,80.45,27.4,6.86
9.5,80.0,2020,1,7,80.33,27.19,6.78
10.0,76.25,2020,1,7,67.0,28.49,1.66
10.0,76.875,2020,1,7,82.06,22.27,1.24
10.0,77.5,2020,1,7,86.94,21.39,2.32
10.0,78.125,2020,1,7,84.02,24.59,3.41
10.0,78.75,2020,1,7,86.65,25.23,4.23
10.0,79.375,2020,1,7,83.85,26.5,5.63
10.0,80.0,2020,1,7,81.24,27.13,6.74
10.5,76.25,2020,1,7,70.03,27.48,2.65
10.5,76.875,2020,1,7,80.04,23.31,2.77
10.5,77.5,2020,1,7,81.58,23.12,3.17
10.5,78.125,2020,1,7,81.45,24.69,3.41
10.5,78.75,2020,1,7,85.96,24.88,3.72
10.5,79.375,2020,1,7,86.38,25.61,4.41
10.5,80.0,2020,1,7,82.92,26.71,6.01
11.0,76.25,2020,1,7,73.61,25.11,2.63
11.0,76.875,2020,1,7,79.6,23.06,3.32
11.0,77.5,2020,1,7,74.6,25.21,3.25
11.0,78.125,2020,1,7,77.05,25.22,3.56
11.0,78.75,2020,1,7,84.55,24.46,3.57
11.0,79.375,2020,1,7,86.57,25.18,3.87
11.0,80.0,2020,1,7,82.76,26.49,5.52
11.5,76.25,2020,1,7,76.26,22.84,1.93
11.5,76.875,2020,1,7,77.62,21.85,2.94
11.5,77.5,2020,1,7,73.01,24.53,2.5
11.5,78.125,2020,1,7,75.4,24.71,3.45
11.5,78.75,2020,1,7,83.98,23.71,3.49
11.5,79.375,2020,1,7,84.81,25.18,3.76
11.5,80.0,2020,1,7,81.47,26.54,5.38
12.0,76.25,2020,1,7,75.61,22.34,2.65
12.0,76.875,2020,1,7,72.48,22.56,3.32
12.0,77.5,2020,1,7,73.76,23.08,2.41
12.0,78.125,2020,1,7,76.23,23.63,3.44
12.0,78.75,2020,1,7,83.16,23.26,3.38
